Batch,ID,ExperimentalGroup,ReverseNumber,TrialsToReverse,TubesOrTouchscreen
Pilot,Empanada,Control,1,110,TUBES
Pilot,Fajita,Manipulation,1,100,TUBES
Pilot,Fajita,Manipulation,2,70,TUBES
Pilot,Fajita,Manipulation,3,80,TUBES
Pilot,Fajita,Manipulation,4,50,TUBES
Pilot,Fajita,Manipulation,5,60,TUBES
Pilot,Fajita,Manipulation,6,90,TUBES
Pilot,Fajita,Manipulation,7,110,TUBES
Pilot,Fajita,Manipulation,8,110,TUBES
Pilot,Fajita,Manipulation,9,50,TUBES
Pilot,Fajita,Manipulation,10,60,TUBES
Pilot,Fajita,Manipulation,11,40,TUBES
Pilot,Fajita,Manipulation,12,60,TUBES
Pilot,Fajita,Manipulation,13,100,TUBES
Pilot,Fajita,Manipulation,14,70,TUBES
Pilot,Fajita,Manipulation,15,60,TUBES
Pilot,Fajita,Manipulation,16,40,TUBES
Pilot,Fajita,Manipulation,17,50,TUBES
Pilot,Fajita,Manipulation,18,100,TUBES
Pilot,Fajita,Manipulation,19,70,TUBES
Pilot,Fajita,Manipulation,20,40,TUBES
Pilot,Fajita,Manipulation,21,70,TUBES
Pilot,Fajita,Manipulation,22,60,TUBES
Pilot,Fajita,Manipulation,23,50,TUBES
Pilot,Fajita,Manipulation,24,60,TUBES
Pilot,Fajita,Manipulation,25,60,TUBES
Pilot,Fajita,Manipulation,26,70,TUBES
Pilot,Fajita,Manipulation,27,50,TUBES
Pilot,Fajita,Manipulation,28,40,TUBES
Pilot,Fajita,Manipulation,29,80,TUBES
Pilot,Fajita,Manipulation,30,50,TUBES
Pilot,Fajita,Manipulation,31,60,TUBES
Pilot,Fajita,Manipulation,32,80,TUBES
Pilot,Fajita,Manipulation,33,40,TUBES
Pilot,Fajita,Manipulation,34,30,TUBES
Pilot,Fajita,Manipulation,35,50,TUBES
Pilot,Fajita,Manipulation,36,90,TUBES
Pilot,Fajita,Manipulation,37,120,TUBES
Pilot,Fajita,Manipulation,38,40,TUBES
Pilot,Fajita,Manipulation,39,NA,TUBES
1,Tomatillo,Control,1,50,TUBES
1,Queso,Control,1,70,TUBES
1,Queso,Control,1,460,TOUCHSCREEN
1,Chalupa,Manipulation,1,90,TUBES
1,Chalupa,Manipulation,2,50,TUBES
1,Chalupa,Manipulation,3,70,TUBES
1,Chalupa,Manipulation,4,60,TUBES
1,Chalupa,Manipulation,5,40,TUBES
1,Chalupa,Manipulation,6,60,TUBES
1,Chalupa,Manipulation,7,50,TUBES
1,Chalupa,Manipulation,8,50,TUBES
1,Mole,Manipulation,1,70,TUBES
1,Mole,Manipulation,2,110,TUBES
1,Mole,Manipulation,3,110,TUBES
1,Mole,Manipulation,4,70,TUBES
1,Mole,Manipulation,5,70,TUBES
1,Mole,Manipulation,6,40,TUBES
1,Mole,Manipulation,7,50,TUBES
1,Mole,Manipulation,1,307,TOUCHSCREEN
1,Mole,Manipulation,2,230,TOUCHSCREEN
1,Mole,Manipulation,3,290,TOUCHSCREEN
1,Mole,Manipulation,4,350,TOUCHSCREEN
1,Mole,Manipulation,5,320,TOUCHSCREEN
1,Habanero,Manipulation,1,80,TUBES
1,Habanero,Manipulation,2,70,TUBES
1,Habanero,Manipulation,3,70,TUBES
1,Habanero,Manipulation,4,60,TUBES
1,Habanero,Manipulation,5,50,TUBES
1,Habanero,Manipulation,6,40,TUBES
1,Habanero,Manipulation,1,290,TOUCHSCREEN
1,Habanero,Manipulation,2,370,TOUCHSCREEN
1,Tapa,Control,1,100,TUBES
1,Tapa,Control,1,NA,TOUCHSCREEN
1,Memela,Manipulation,1,60,TUBES
1,Memela,Manipulation,2,70,TUBES
1,Memela,Manipulation,3,150,TUBES
1,Memela,Manipulation,4,80,TUBES
1,Memela,Manipulation,5,100,TUBES
1,Memela,Manipulation,6,90,TUBES
1,Memela,Manipulation,7,60,TUBES
1,Memela,Manipulation,8,90,TUBES
1,Memela,Manipulation,9,60,TUBES
1,Memela,Manipulation,10,70,TUBES
1,Memela,Manipulation,11,80,TUBES
2,Fideo,Control,1,70,TUBES
1,Avocada,Control,1,100,TUBES
3,Diablo,Manipulation,1,80,TUBES
3,Diablo,Manipulation,2,110,TUBES
3,Diablo,Manipulation,3,130,TUBES
3,Diablo,Manipulation,4,170,TUBES
3,Diablo,Manipulation,5,130,TUBES
3,Diablo,Manipulation,6,80,TUBES
3,Diablo,Manipulation,7,50,TUBES
3,Diablo,Manipulation,8,40,TUBES
Juv,Taco,None,1,80,TUBES
3,Burrito,Manipulation,1,60,TUBES
3,Burrito,Manipulation,2,50,TUBES
3,Burrito,Manipulation,3,90,TUBES
3,Burrito,Manipulation,4,110,TUBES
3,Burrito,Manipulation,5,90,TUBES
3,Burrito,Manipulation,6,60,TUBES
3,Burrito,Manipulation,7,50,TUBES
3,Burrito,Manipulation,8,23,TUBES
3,Adobo,Manipulation,1,100,TUBES
3,Adobo,Manipulation,2,90,TUBES
3,Adobo,Manipulation,3,80,TUBES
3,Adobo,Manipulation,4,60,TUBES
3,Adobo,Manipulation,5,50,TUBES
3,Adobo,Manipulation,6,50,TUBES
3,Marisco,Control,1,50,TUBES
3,Pavo,Control,NA,NA,TUBES
3,Chilaquile,Manipulation,1,40,TUBES
3,Chilaquile,Manipulation,2,70,TUBES
3,Chilaquile,Manipulation,3,70,TUBES
3,Chilaquile,Manipulation,4,90,TUBES
3,Chilaquile,Manipulation,5,50,TUBES
3,Chilaquile,Manipulation,6,30,TUBES
3,Yuca,Control,1,80,TUBES
3,Pizza,Control,1,60,TUBES
4,Pollito,Manipulation,1,60,TUBES
4,Pollito,Manipulation,2,60,TUBES
4,Pollito,Manipulation,3,50,TUBES
4,Pollito,Manipulation,4,70,TUBES
4,Pollito,Manipulation,5,90,TUBES
4,Pollito,Manipulation,6,60,TUBES
4,Pollito,Manipulation,7,50,TUBES
4,Pollito,Manipulation,8,40,TUBES
4,Mofongo,Control,1,40,TUBES
4,Taquito,Control,1,160,TUBES
4,Guacamole,Manipulation,,NA,TUBES
3,Huachinango,Control,,NA,TUBES
