"","Name","FlexGroup","BirdID"
"1","Adobo","Manipulation","A073OL"
"2","Avocada","Control","A046NG"
"3","Burrito","Manipulation","A068YS"
"4","Chalupa","Manipulation","A025GO"
"5","Chilaquile","Manipulation","A086GB"
"6","Diablo","Manipulation","A064LR"
"7","Fideo","Control","A044KS"
"8","Guacamole","Manipulation","A098RR"
"9","Habanero","Manipulation","A036R-"
"10","Huachinango","Control","A089GY"
"11","Marisco","Control","A075Y-"
"12","Memela","Manipulation","A043KR"
"13","Mofongo","Control","A090SB"
"14","Mole","Manipulation","A035P-"
"15","Pavo","Control","A082OY"
"16","Pizza","Control","A088YR"
"17","Pollito","Manipulation","A096NS"
"18","Queso","Control","A031-Y"
"19","Taco","Control","A070KP"
"20","Tapa","Control","A042GY"
"21","Taquito","Control","A007-S"
"22","Tomatillo","Control","A022-N"
"23","Yuca","Control","A087AG"
