"","Bird","Number","beginningphi","beginninglambda","manipulatedphi","manipulatedlambda","lastphi","lastlambda"
"1","Adobo",1,0.0118082349770912,4.43530642600308,0.0627401418017281,3.26908616907847,0.0627401418017281,3.26908616907847
"2","Avocada",2,0.0325937569242992,2.79385477534063,NA,NA,0.0325937569242992,2.79385477534063
"3","Burrito",3,0.0610426966490702,2.71894618455687,0.0818907382202378,2.20602407059377,0.0818907382202378,2.20602407059377
"4","Chalupa",4,0.0176766282464065,4.38323882737963,0.0631318806937251,3.50323129711579,0.0631318806937251,3.50323129711579
"5","Chilaquile",5,0.0772528268130368,4.16089266330417,0.0716341609048424,2.82867984223155,0.0716341609048424,2.82867984223155
"6","Diablo",6,0.0199384934241901,6.50469232588524,0.0779727317523167,3.1487759620128,0.0779727317523167,3.1487759620128
"7","Fideo",7,0.0236258731148113,4.13445129178647,NA,NA,0.0236258731148113,4.13445129178647
"8","Guacamole",8,0.0366221089604384,5.14452414336138,NA,NA,0.0366221089604384,5.14452414336138
"9","Habanero",9,0.0311018084002379,4.11689138931077,0.0585081471042824,4.78358826550461,0.0585081471042824,4.78358826550461
"10","Huachinango",10,0.01590904667018,5.02631248987756,NA,NA,0.01590904667018,5.02631248987756
"11","Marisco",11,0.0610471029204589,3.37724949405086,NA,NA,0.0610471029204589,3.37724949405086
"12","Mofongo",12,0.103381151082532,5.34864983251598,NA,NA,0.103381151082532,5.34864983251598
"13","Mole",13,0.0289896091457762,4.14736714498794,0.0812325248197471,2.13986606319218,0.0812325248197471,2.13986606319218
"14","Pizza",14,0.0465595885809816,3.3043289767481,NA,NA,0.0465595885809816,3.3043289767481
"15","Pollito",15,0.0540584556811215,3.69536160792724,0.0690438950589604,3.31221379565185,0.0690438950589604,3.31221379565185
"16","Queso",16,0.0270641497898543,3.5056781045963,NA,NA,0.0270641497898543,3.5056781045963
"17","Taco",17,0.0241550891885861,4.29806128917252,NA,NA,0.0241550891885861,4.29806128917252
"18","Tapa",18,0.017169815923422,4.45837656523019,NA,NA,0.017169815923422,4.45837656523019
"19","Taquito",19,0.010299777477817,4.38857700392959,NA,NA,0.010299777477817,4.38857700392959
"20","Tomatillo",20,0.0451625298794872,4.30383824346244,NA,NA,0.0451625298794872,4.30383824346244
"21","Yuca",21,0.0260914041780217,4.75673125957667,NA,NA,0.0260914041780217,4.75673125957667
